reporting_date,portfolio,expected_losses
2003-02-28,mtg,0.0027
2003-03-31,mtg,0.0027
2003-04-30,mtg,0.0025
2003-05-31,mtg,0.0025
2003-06-30,mtg,0.0025
2003-07-31,mtg,0.0025
2003-08-31,mtg,0.0025
2003-09-30,mtg,0.0026
2003-10-31,mtg,0.0026
2003-11-30,mtg,0.0026
2003-12-31,mtg,0.0027
2004-01-31,mtg,0.0028
2004-02-29,mtg,0.0026
2004-03-31,mtg,0.0025
2004-04-30,mtg,0.0025
2004-05-31,mtg,0.0024
2004-06-30,mtg,0.0024
2004-07-31,mtg,0.0024
2004-08-31,mtg,0.0024
2004-09-30,mtg,0.0024
2004-10-31,mtg,0.0024
2004-11-30,mtg,0.0025
2004-12-31,mtg,0.0025
2005-01-31,mtg,0.0026
2005-02-28,mtg,0.0026
2005-03-31,mtg,0.0026
2005-04-30,mtg,0.0025
2005-05-31,mtg,0.0025
2005-06-30,mtg,0.0024
2005-07-31,mtg,0.0024598
2005-08-31,mtg,0.0024878
2005-09-30,mtg,0.0025621
2005-10-31,mtg,0.0025649
2005-11-30,mtg,0.0025899
2005-12-31,mtg,0.0025514
2006-01-31,mtg,0.0026502
2006-02-28,mtg,0.002724
2006-03-31,mtg,0.0027305
2006-04-30,mtg,0.0026286
2006-05-31,mtg,0.0026677
2006-06-30,mtg,0.0026787
2006-07-31,mtg,0.0026967
2006-08-31,mtg,0.002807
2006-09-30,mtg,0.0028931
2006-10-31,mtg,0.0029395
2006-11-30,mtg,0.0030884
2006-12-31,mtg,0.003312
2007-01-31,mtg,0.0035998
2007-02-28,mtg,0.0037663
2007-03-31,mtg,0.0038581
2007-04-30,mtg,0.0039851
2007-05-31,mtg,0.0041001
2007-06-30,mtg,0.0041664
2007-07-31,mtg,0.0042256
2007-08-31,mtg,0.0042981
2007-09-30,mtg,0.0043446
2007-10-31,mtg,0.004386
2007-11-30,mtg,0.0044445
2007-12-31,mtg,0.0045195
2008-01-31,mtg,0.0045004
2008-02-29,mtg,0.0045322
2008-03-31,mtg,0.0044
2008-04-30,mtg,0.0043
2008-05-31,mtg,0.0042
2008-06-30,mtg,0.0042
2008-07-31,mtg,0.0042
2008-08-31,mtg,0.0042
2008-09-30,mtg,0.0042
2008-10-31,mtg,0.0042497
2008-11-30,mtg,0.0042268
2008-12-31,mtg,0.0043389
2009-01-31,mtg,0.004461
2009-02-28,mtg,0.004442
2009-03-31,mtg,0.0042781
2009-04-30,mtg,0.0042271
2009-05-31,mtg,0.0040954
2009-06-30,mtg,0.0040527
2009-07-31,mtg,0.0040061
2009-08-31,mtg,0.0040147
2009-09-30,mtg,0.0039758
2009-10-31,mtg,0.0039362
2009-11-30,mtg,0.0038521
2009-12-31,mtg,0.003839
2010-01-31,mtg,0.0038171
2010-02-28,mtg,0.0037355
2010-03-31,mtg,0.0036938
2010-04-30,mtg,0.0035306
2010-05-31,mtg,0.0034068
2010-06-30,mtg,0.0033154
2010-07-31,mtg,0.0032811
2010-08-31,mtg,0.0032521
2010-09-30,mtg,0.0032911
2010-10-31,mtg,0.0032198
2010-11-30,mtg,0.0031833
2010-12-31,mtg,0.0032717
2011-01-31,mtg,0.0032797
2011-02-28,mtg,0.0033
2011-03-31,mtg,0.0032
2011-04-30,mtg,0.0031
2011-05-31,mtg,0.0030647
2011-06-30,mtg,0.0031
2011-07-31,mtg,0.00302
2011-08-31,mtg,0.0030886
2011-09-30,mtg,0.0031188
2011-10-31,mtg,0.0031009
2011-11-30,mtg,0.0030958
2011-12-31,mtg,0.0031529
2012-01-31,mtg,0.0031894
2012-02-29,mtg,0.0031415
2012-03-31,mtg,0.0030535
2012-04-30,mtg,0.0029543
2012-05-31,mtg,0.0029253
2012-06-30,mtg,0.0028603
2012-07-31,mtg,0.0028327
2012-08-31,mtg,0.0028626
2012-09-30,mtg,0.0028457
2012-10-31,mtg,0.0027854
2012-11-30,mtg,0.0027988
2012-12-31,mtg,0.0028508
2013-01-31,mtg,0.0029189
2013-02-28,mtg,0.0029146
2013-03-31,mtg,0.0028125
2013-04-30,mtg,0.002776
2013-05-31,mtg,0.0027698
2013-06-30,mtg,0.0027108
2013-07-31,mtg,0.0026833
2013-08-31,mtg,0.0027006
2013-09-30,mtg,0.0027192
2013-10-31,mtg,0.002698
2013-11-30,mtg,0.0026357
2013-12-31,mtg,0.0027179
2014-01-31,mtg,0.0028153
2014-02-28,mtg,0.0028435
2014-03-31,mtg,0.0028224
2014-04-30,mtg,0.0027725
2014-05-31,mtg,0.0028032
2014-06-30,mtg,0.0027529
2014-07-31,mtg,0.0027589
2014-08-31,mtg,0.0028601
2014-09-30,mtg,0.0028485
2014-10-31,mtg,0.0027966
2014-11-30,mtg,0.0027388
2014-12-31,mtg,0.0027607
2015-01-31,mtg,0.0027853
2015-02-28,mtg,0.0027661
2015-03-31,mtg,0.0026804
2015-04-30,mtg,0.0026252
2015-05-31,mtg,0.0025272
2015-06-30,mtg,0.0024676
2015-07-31,mtg,0.0024624
2015-08-31,mtg,0.0024436
2015-09-30,mtg,0.0024383
2015-10-31,mtg,0.0024034
2015-11-30,mtg,0.0023591
2015-12-31,mtg,0.0023899
2016-01-31,mtg,0.0024389
2016-02-29,mtg,0.0024151
2016-03-31,mtg,0.0024143
2016-04-30,mtg,0.0023426
2016-05-31,mtg,0.0023491
2016-06-30,mtg,0.002347
2016-07-31,mtg,0.0023598
2016-08-31,mtg,0.0023334
2016-09-30,mtg,0.002356
2016-10-31,mtg,0.0023631
2016-11-30,mtg,0.0023628
2016-12-31,mtg,0.0024494
2017-01-31,mtg,0.0024681
2017-02-28,mtg,0.0024267
2017-03-31,mtg,0.0024016
2017-04-30,mtg,0.0023197
2017-05-31,mtg,0.0023425
2017-06-30,mtg,0.0023292
2017-07-31,mtg,0.0023295
2017-08-31,mtg,0.0023423
2017-09-30,mtg,0.002379
2017-10-31,mtg,0.0023631
2017-11-30,mtg,0.0023169
2017-12-31,mtg,0.0023782
2018-01-31,mtg,0.0023938
2018-02-28,mtg,0.0023597
2018-03-31,mtg,0.0023951
2018-04-30,mtg,0.0025023
