Reporting_Date,Portfolio,Lender_Type,Insurance_Status,Dimension,Category,Total_Loan_Value_Originated
2022-03-31,mtg,Chartered Bank,Insured,Credit Score Range,0 < 599,43478000
2022-03-31,mtg,Chartered Bank,Insured,Credit Score Range,600 < 649,185552000
2022-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,0 < 599,
2022-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,No Score,
2022-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,750 or greater,
2022-03-31,mtg,Chartered Bank,Insured,Credit Score Range,No Score,2096321000
2022-03-31,mtg,Chartered Bank,Insured,Credit Score Range,750 or greater,3995006000
2022-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,650 < 699,
2022-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,600 < 649,
2022-03-31,mtg,Chartered Bank,Insured,Credit Score Range,700 < 749,1782484000
2022-03-31,mtg,Chartered Bank,Insured,Credit Score Range,650 < 699,877881000
2022-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,700 < 749,
2021-12-31,mtg,Chartered Bank,Insured,Credit Score Range,650 < 699,1131557000
2021-12-31,mtg,Chartered Bank,Uninsured,Credit Score Range,750 or greater,
2021-12-31,mtg,Chartered Bank,Uninsured,Credit Score Range,600 < 649,
2021-12-31,mtg,Chartered Bank,Insured,Credit Score Range,No Score,1459377000
2021-12-31,mtg,Chartered Bank,Insured,Credit Score Range,600 < 649,277618000
2021-12-31,mtg,Chartered Bank,Uninsured,Credit Score Range,No Score,
2021-12-31,mtg,Chartered Bank,Uninsured,Credit Score Range,0 < 599,
2021-12-31,mtg,Chartered Bank,Uninsured,Credit Score Range,650 < 699,
2021-12-31,mtg,Chartered Bank,Insured,Credit Score Range,750 or greater,6114142000
2021-12-31,mtg,Chartered Bank,Insured,Credit Score Range,700 < 749,2482813000
2021-12-31,mtg,Chartered Bank,Uninsured,Credit Score Range,700 < 749,
2021-12-31,mtg,Chartered Bank,Insured,Credit Score Range,0 < 599,64053000
2021-09-30,mtg,Chartered Bank,Uninsured,Credit Score Range,750 or greater,
2021-09-30,mtg,Chartered Bank,Insured,Credit Score Range,600 < 649,346804000
2021-09-30,mtg,Chartered Bank,Insured,Credit Score Range,No Score,1545467000
2021-09-30,mtg,Chartered Bank,Uninsured,Credit Score Range,No Score,
